Unnamed: 0,result/Mamba1_M.csv,result/Mamba1_S.csv,result/Mamba2_M.csv,result/Mamba2_S.csv,result/QWEN_S.csv,result/QWWEN_M.csv
Start,2019-09-29 04:00:00,0.0,0.0,0.0,0.0,0.0
End,2024-12-25 13:00:00,45909.0,45909.0,45909.0,45909.0,45909.0
Duration,1914 days 09:00:00,45909.0,45909.0,45909.0,45909.0,45909.0
Exposure Time [%],76.27967763014594,37.46460466129384,21.916793726856895,31.692441733827053,36.85689392289262,21.7882814201699
Equity Final [$],163472.41748123363,55640.159174688524,259357.94062204435,66388.73753754301,41545.19711216905,171538.01007105736
Equity Peak [$],265294.5854302165,71615.63835893756,264928.2728580684,78672.10890810177,45899.24329681305,175660.39336207937
Return [%],1534.7241748123363,456.40159174688523,2493.579406220443,563.8873753754301,315.4519711216905,1615.3801007105735
Buy & Hold Return [%],687.0389085396666,687.0389085396666,687.0389085396666,687.0389085396666,687.0389085396666,687.0389085396666
Return (Ann.) [%],70.32686482846842,0.0,0.0,0.0,0.0,0.0
Volatility (Ann.) [%],174.9371926180557,,,,,
Sharpe Ratio,0.40201208088445,,,,,
Sortino Ratio,1.28859743103777,,,,,
Calmar Ratio,0.8946774894803696,0.0,0.0,0.0,0.0,0.0
Max. Drawdown [%],-78.60582797194819,-71.00236373855161,-62.99014971842423,-59.6545809832301,-67.193553296162,-53.97354799001093
Avg. Drawdown [%],-6.758248589119724,-5.397647112563558,-4.643069374417837,-4.689299525733821,-5.649920163967572,-4.5326663306138775
Max. Drawdown Duration,1139 days 00:00:00,28685.0,12107.0,28310.0,28685.0,24577.0
Avg. Drawdown Duration,15 days 11:00:00,403.875,283.33962264150944,323.20714285714286,547.0722891566265,344.04615384615386
# Trades,11436,7264.0,4324.0,6340.0,7214.0,4405.0
Win Rate [%],58.69185029730674,53.028634361233486,55.388529139685474,52.85488958990536,52.77238702522872,54.59704880817253
Best Trade [%],38.239148664911625,38.239148664911625,38.239148664911625,38.239148664911625,38.239148664911625,18.96397325193917
Worst Trade [%],-25.282323214501478,-23.088158648593737,-23.088158648593737,-16.36960397054532,-23.088158648593737,-23.088158648593737
Avg. Trade [%],0.0244351334453885,0.023630558648157773,0.07532038049973266,0.02986166272544999,0.019744070211435982,0.06454343036861321
Max. Trade Duration,0 days 21:00:00,10.0,8.0,7.0,10.0,13.0
Avg. Trade Duration,0 days 03:00:00,1.36784140969163,1.3270120259019427,1.2949526813880126,1.3455780426947601,1.270828603859251
Profit Factor,1.0799166453935916,1.0794869242270377,1.1715544772706408,1.0897631769537712,1.0707786265524462,1.1525468794954652
Expectancy [%],0.04046959728320546,0.038173612563120886,0.09778752369407498,0.04391560582559191,0.0342359080983745,0.08356423850066691
SQN,0.785022552777406,0.9720638086350635,2.142010997853772,0.968991170337273,0.9468791979146347,2.1047764117397962
_strategy,System,System,System,System,System,System
